tweet,predicted_labels
dear sir follower honourable shri modi looking help brother suffering brain tumor facing problems get treated terrible exp mah agrasen hospital money talks poor pls help treating,Negative
trollhaiklu tweet chaddichors still vote modi,Negative
watch live news modi address talkatora stadium today,Possitive
shld modi win promise takes side doesnt care country power modi win beat game,Possitive
rahul said gujarath election modi gave land adani price per meter measures land meter meter square maths tutor committed suicide,Possitive
dont first ask modi running govt present white paper action taken recover black money abroad,Possitive
modi govt surgical strike air strike mission shakti gst ayushman bharat many better vote bjp congress wins aloo daalo sona nikalo aloo daalo sona nikalo,Possitive
kashmir well hurriyat scraped elements lead terrorism eliminated adha problem khatm baaki adha problem pakistan liye modi rhe hai phir,Negative
lol bother modi fever affected brain,Possitive
modi moditva,Negative
unfortunately modi sarkar one aim self promotion,Negative
took photo sun north south else wud got nice pic blame modi post serious issue,Possitive
sir expressed views modi contested sure,Possitive
one never deny massive looting machinery khanchris doesnt forget last foot soldier cadres queue seen loyality shown pidis,Negative
modi govt orders bsnl vacate cto mumbai dot officials say,Negative
interesting proud learn sri tej bahadur yadav bsf jawan sacked modi govt speaking truth contest loksabha election varanasi seat going nakli chaukidar asli chaukidar,Possitive
chowkidar courage conduct surgical strikes land sea space modi,Negative
narendra modi address nation video conference booths set locations first family,Negative
sorry sir technology asat development long even modi government came picture dont see vanity ambition one man believe question way announced professional integrity drdo,Negative
understand pain inc denied mahamilawat aap well dont worry happy raised issues related ragas promises keep exposing inc aap kutta susu nei karta inc koi puchta tak nei ayega modi,Possitive
show bhakt ruin weekend modi,Negative
happy arresting propoor activities happy gurgao goons roming freely happy crores unemployed youth suffering happy polarized society happy modi theatre style,Possitive
definitely saput bhi modi,Negative
nobody saying problems began modi came power yet modi promised would eliminate problems didnt supposed criticise either voted change didnt vote nehru ask nehru questions,Negative
accusing nda govt double standards series tweets said psu banks bailing govt ruthlessly allowed kingfisher fail,Negative
people india want thatgood suggestion countrywhy kejriwal afraid modiif corrupt,Negative
need invoke nehruits achievement space scientistsmodi informed nation achievement,Negative
dear new interesting brings strong factual debate political speechs kudos team spot nailed points interesting discussion modis rally,Possitive
even know called small tax urbanised jihadi brain cells support anything antimodi,Negative
seasoned journalist missed hod mandated project indira rajiv atalji reported big achievements dont single modi political reasons stop ground worker congress join officially,Possitive
reason delhi congress ally kejriwal lead aap aap set decimated upcoming elections indians laught foolishness rahul get annoyed arrogance modi save anger thug kejriwal,Negative
corrupt syndicate whether hawala extortion narcotics tender fixers defence deal lobbyists even isis silent support cells also putting tons tons lanchhan modi using toneses filth climb another paydaan,Negative
country progressing leaps bounds achieving new heights every sphere life dynamic leadership modi jiek baar phir modi sarkarjai hind,Possitive
rajasthan governor kalyan singh triggered row advocating prime minister narendra modi emerge victorious,Negative
modi interview giving serious burns pidis liberals psuedos,Negative
election tracker live detect deport every single immigrant assam says amit shah,Possitive
exisro chairman gets death threat jem praising modi indias asat test,Negative
pradhan mantri jan arogya yojana jay faqs pradhan mantri jan arogya yojanapmjay pradhan mantri jan arogya yojanapmjay pioneering initiative prime minister modi ensure poor vulnerable,Negative
citizens support india dynastyfree corruptionfree terrorfree safe citizens people nation supports modi works tirelessly improving lives let also pledge chowkidaars support,Possitive
namo vote modi,Negative
friends dont miss observe official trailer modi solely erosnow buy erosnow seventh april urge fiftieth annual subscription,Negative
chowkidar daagdar attacks congress mega rally,Negative
whats complaint arnab goswami aap taking modi interview tune watch live republic,Possitive
said women empowerment smritiji proved said modi lot trips touring across nation two seats contestants claimed modiji afraid afraid talk nationalist,Negative
every indian contributing towards making country corruption free working like chowkidar corruptevery indian loves nation supports fellow citizen chowkidar let part collective fight along modi,Possitive
st version soldiers duty scientists job modi taking credit nd version dept election commission working modis direction perspective congress party changes per suitability,Negative
read news upa govt never approved test modi makes big difference comes national security difficult understand one cant educate good,Possitive
shameless one lie modi,Negative
modi last forwarding india development dont trust fake news think modi important country,Negative
like modi sarkar,Negative
brahmin chowkidar subramanian swamy taunts modi,Negative
speaks problems facing common man india divide india based caste creed make false promises like lord god modi would never steal hal jobs give modi resign days,Negative
development sir modi sarkar says dont development done loni thought reply compelled write tweet,Negative
nice view aabki baar modi sarkar jai hind jai bharat good morning titure frainds best wishes thq,Possitive
people questioning modi government inability create enough jobs country interview swarajya magazine modi said lack jobs india lack data jobs,Negative
get shocked getting car one time trading idc idc idc,Negative
exactly late quaid azam mohammad ali jinnah foreseen concerns jinnah come true modi india,Possitive
already modi made big joke lacs rupees new joke pity indian people,Possitive
modi give press conference five years way coward developments govthat way away media chowkidar chor,Negative
ill chowkidaar power modi realized chowkidaar chor hai saare bhakt bhi ban jao chowkidaar modi,Negative
honest leaders wont shit pants raids followers instead supporting raid leaders cleanblind followers crying modi social media,Possitive
modi credit scientist modi,Negative
modi makes uninformed irrational decisions cause mayhem common mans lives congress party diligently consulted economists months proposing people country,Negative
compare rahul gandhi modi intellect honesty dedication experience work done administrator way struggled reach every one sees difference vote voter smart,Possitive
prime minister modi pulls media rightly,Possitive
met sharma day business curiosity asked vote said business since last years modi lost election move country wife big said need bjp future,Possitive
modi tell nation deposit rs lakhs achow ppl loot banks could run away full knowledge even pmwhy provide crores jobswhy farmers sucide farmers get minimum support price instead abuses oppn,Negative
narendra modi credited songwriter modi journey common man,Negative
india challenges become worse modi says pew survey reports theprint,Negative
tweet modi modi modi every tweet,Negative
also thief modi amit shah maha theif,Negative
gujarat vijay rupani come criticism modi photo boarding pass,Negative
face haunt condemn abduction girls alive wel also recorded message still personally ordered action unlike modi treats muslims vote bank,Possitive
sir due respect loved initiative sad evn like modi want provide lollipop nothing else sir plz explain entire nation providing going fight poverty,Negative
modis village electrification among worlds biggest successes year says report financial express,Negative
divide rule shuru cast must unite congress looters vote bjp modi,Negative
bhakts modi promised year farmers rahul gandhi promised year poor families,Negative
see exactly focusing right team modis leadership exactly want let away political parties let called team responsible news,Possitive
whtever oppostion votes cant supported due modi wins presents enabling act like hitler paseed parliament dear opposition modi india attack never try attack india,Possitive
fellow also lost brain due greed arrogance narendra modi immortal remains till end good hindustana selfless capable narendra modi,Possitive
bjp union minister modi bhakt shared stage bihar shelter home rape accused even supreme court seriously noted nitish kumar protected rape accused beti bachao beti padhao,Negative
set nehru developed ready modi snatched rafale deal hal gave ambani gave self reliance claims credit textbook modi hating cong lover keywords predictable funny nothing tops people believe guy,Possitive
modi fight electionshe also defaulted lakhs,Negative
support movement vote kar narendra modi appeals everyone tweetstorm via namo app,Negative
modi first india iit indian pakoda institutes iim might indian institute chaukidaari instead brts cow corridor roads airports private property adani ambani half population either dead civil war external attacks,Negative
modi came power may chief drdo also member said bosses didnt give permission asat question arises modi gave permission late could given permission gave permission years delay,Negative
india shoots satellite test space defense modi announces,Negative
true forces work peace goodwill must remain everpowerful achievement peace indias modi,Possitive
news channel like trying really hard create modi wave fictious polling scheme doesnt exist reality voters careful polls watch authentic ground reporting real journalist wrking cmn ppl,Possitive
fear insecuritymodi failures demontizationpoor implementation deaths bankslathicharges bankmen abusesatm ques cryingsantinational labelall comes mind addresses,Negative
fcuk think imply bjpmodi india fcuk party indian freedom fighters fighting get free forgot party members busy licking boots brits writing apology letters,Possitive
tell power past years people gave majority deciding taking credit blaming others modi take responsibility failure instead blaming nehru like looser,Negative
crucial meet underway modis speech mission shakti officials analysing pms speech whether violated model code conduct also seek transcripts pms address,Negative
make india digital india narendra modi government taken lot initiatives directly impact common,Negative
nice glade speech fantastic soldier bjp every things possible modi stand,Possitive
